No.,日付,品名コード,品名,数量,単価,金額,分類コード,分類名,備考
523,20250503,1190,水光呼子いかせん,11,650,7150,2010,駄菓子,袋菓子
437,20250503,1192,青しそ健康うどん,1,486,486,2007,食品,
436,20250503,1192,青しそ健康そうめ,2,540,1080,2007,食品,
480,20250503,1193,青獅子          ,1,216,216,2004,雑貨類,曳山関連
537,20250503,1194,昔羊羹(小)      ,4,490,1960,2003,和菓子,箱入り
479,20250503,1195,赤獅子          ,3,216,648,2004,雑貨類,曳山関連
538,20250503,1197,切羊羹          ,5,540,2700,2003,和菓子,箱入り
441,20250503,1198,千鳥橋2Lﾊﾟｽﾞﾙ   ,1,740,740,2004,雑貨類,
447,20250503,1199,戦 ｸﾘｱﾌｧｲﾙ      ,2,330,660,2004,雑貨類,
512,20250503,1201,村山ｺｰﾋｰ        ,9,140,1260,2008,飲料,
513,20250503,1202,村山ヨーグルト  ,3,140,420,2008,飲料,
511,20250503,1203,村山牛乳        ,9,140,1260,2008,飲料,
482,20250503,1204,鯛              ,3,216,648,2007,食品,醤油
386,20250503,1206,大名紋章図      ,2,550,1100,2009,装飾品,地図
394,20250503,1207,凧              ,2,350,700,2009,装飾品,
404,20250503,1208,淡雪饅頭6個入り ,3,650,1950,2003,和菓子,箱入り
452,20250503,1210,都飴花畑        ,1,540,540,2002,洋菓子,飴
453,20250503,1211,都飴風車        ,3,540,1620,2002,洋菓子,飴
425,20250503,1212,唐ワンくんクッキ,2,350,700,2002,洋菓子,唐津関連
499,20250503,1213,唐ワンくんﾆｯﾄﾄｰﾄ,1,990,990,2004,雑貨類,
542,20250503,1214,唐津お城饅頭(小 ,14,870,12180,2003,和菓子,唐津城関連
541,20250503,1215,唐津お城饅頭(大 ,4,1300,5200,2003,和菓子,唐津城関連
490,20250503,1216,唐津くんちﾁｷﾝ   ,3,558,1674,2007,食品,曳山関連
487,20250503,1217,唐津くんちﾃﾞﾗﾐ  ,4,430,1720,2007,食品,曳山関連
497,20250503,1218,唐津ｻｸｻｸｷｬ      ,1,518,518,2002,洋菓子,唐津関連
514,20250503,1219,唐津の風(小)    ,14,800,11200,2002,洋菓子,唐津関連
515,20250503,1219,唐津の風(大)    ,3,1600,4800,2002,洋菓子,唐津関連
500,20250503,1220,唐津みるくｷｬﾗﾒﾙ ,2,486,972,2002,洋菓子,唐津関連
414,20250503,1221,唐津城 缶バッジ ,4,400,1600,2004,雑貨類,唐津城関連
387,20250503,1224,唐津城ﾒﾀﾞﾙ      ,9,600,5400,2004,雑貨類,唐津城関連
393,20250503,1225,唐津城一筆箋(ﾌ  ,2,200,400,2004,雑貨類,唐津城関連
442,20250503,1226,唐津城沖2Lﾊﾟｽﾞﾙ ,1,740,740,2004,雑貨類,唐津城関連
391,20250503,1227,唐津城御朱印    ,62,400,24800,2001,御朱印,
539,20250503,1228,唐津城物語      ,2,650,1300,2003,和菓子,唐津城関連
540,20250503,1229,唐津城物語2本   ,2,1520,3040,2003,和菓子,唐津城関連
445,20250503,1231,藤棚ｸﾘｱﾌｧｲﾙ     ,2,220,440,2004,雑貨類,
429,20250503,1232,豆柴×唐津くんち,4,660,2640,2004,雑貨類,曳山関連
380,20250503,1237,箸置き(高野路窯 ,3,320,960,2005,生活雑貨,
384,20250503,1238,箸置き(大杉皿屋 ,4,550,2200,2005,生活雑貨,
483,20250503,1239,飛龍            ,1,216,216,2004,雑貨類,曳山関連
390,20250503,1240,付箋ｾｯﾄ(2本     ,1,250,250,2004,雑貨類,
484,20250503,1240,武田信玄の兜    ,1,216,216,2004,雑貨類,曳山関連
454,20250503,1241,舞妓ﾁｮｺ         ,3,378,1134,2002,洋菓子,袋菓子
530,20250503,1242,米ｻｲﾀﾞｰ         ,1,270,270,2008,飲料,
510,20250503,1244,麻花兒          ,1,480,480,2003,和菓子,よりより
368,20250503,1247,民芸雑貨600     ,2,660,1320,2004,雑貨類,キーホルダー
546,20250503,1248,名字ｼ-ﾙVOL2     ,12,385,4620,2004,雑貨類,シール
395,20250503,1250,六角凧          ,1,250,250,2009,装飾品,
405,20250503,1251,六萬石          ,4,1500,6000,2003,和菓子,箱入り
413,20250503,1252,和手拭い        ,2,880,1760,2005,生活雑貨,
519,20250503,1253,和風ぴーかんなっ,2,1080,2160,2002,洋菓子,箱入り
349,20250502,1001,３種の贅沢ピーカ,1,1160,1160,2002,洋菓子,箱入り
296,20250502,1004,ｱｲｽｸﾘｰﾑ         ,7,210,1470,2002,洋菓子,
334,20250502,1006,いかすみｺﾞｰﾌﾚ   ,1,648,648,2002,洋菓子,箱入り
341,20250502,1007,いかせん        ,2,650,1300,2003,和菓子,箱入り
286,20250502,1012,ｲｶ凧            ,1,150,150,2004,雑貨類,
343,20250502,1013,いか鉄ちゃん    ,4,980,3920,2007,食品,
311,20250502,1014,いか鉄板焼き    ,2,540,1080,2007,食品,
278,20250502,1020,かしわ餅2個入り ,3,360,1080,2003,和菓子,
356,20250502,1023,かぼすｻﾜｰ       ,2,216,432,2008,飲料,
365,20250502,1024,からつ茶団子    ,2,870,1740,2003,和菓子,唐津関連
359,20250502,1025,ｶﾙｯﾃﾍﾞｲｸ        ,1,691,691,2002,洋菓子,箱入り
302,20250502,1036,ぎゅぎゅ缶ﾊﾞｯﾁｿﾞ,1,550,550,2004,雑貨類,缶バッチ
303,20250502,1036,ぎゅぎゅ缶ﾊﾞｯﾁｿﾞ,1,550,550,2004,雑貨類,缶バッチ
354,20250502,1038,ｷﾝｾﾝﾗﾑﾈ         ,1,195,195,2008,飲料,
289,20250502,1042,ｸﾘｱ歴民         ,1,300,300,2004,雑貨類,クリアファイル
279,20250502,1042,ｸﾘｰﾑ大福        ,2,360,720,2003,和菓子,
358,20250502,1045,ｸﾚﾖﾝしんちゃんｸｯ,2,760,1520,2002,洋菓子,
319,20250502,1054,ｽﾀﾝﾄﾞﾒﾓ(唐      ,1,400,400,2004,雑貨類,唐津関連
355,20250502,1056,ｽﾏｯｸｺﾞｰﾙﾄﾞ      ,2,216,432,2008,飲料,
316,20250502,1057,ｿｯｸｽとかげｵﾚﾝｼﾞ ,1,528,528,2005,生活雑貨,
317,20250502,1057,ｿｯｸｽとかげﾚｯﾄﾞ  ,1,528,528,2005,生活雑貨,
300,20250502,1058,だがし屋さんの駄,2,300,600,2010,駄菓子,
360,20250502,1060,ﾁｰｽﾞﾗﾝｸﾞﾄﾞｼｬ・小,2,680,1360,2002,洋菓子,箱入り
312,20250502,1062,ななやまの天然水,2,154,308,2008,飲料,
309,20250502,1064,のびしばムツゴロ,1,770,770,2004,雑貨類,ストラップ
308,20250502,1066,のびねこ唐津城  ,1,770,770,2004,雑貨類,唐津城関連
306,20250502,1067,のびﾑﾂｺﾞﾛｳ      ,1,770,770,2004,雑貨類,ストラップ
318,20250502,1069,ﾊﾞﾙｰﾝうさぎ     ,2,440,880,2004,雑貨類,キーホルダー
315,20250502,1073,ﾊﾞﾙｰﾝハチワレ   ,1,440,440,2004,雑貨類,キーホルダー
367,20250502,1075,ﾊﾝｶﾁ豆柴いか    ,1,770,770,2004,雑貨類,
332,20250502,1092,ﾌﾞﾗｯｸﾓﾝﾌﾞﾗﾝｸﾗﾝﾁﾁ,2,1400,2800,2002,洋菓子,箱入り
291,20250502,1095,ﾎﾟｽｶ旧唐        ,1,150,150,2004,雑貨類,唐津関連
288,20250502,1098,ﾎﾟｽﾄｶｰﾄﾞ5番     ,1,110,110,2004,雑貨類,ポストカード
287,20250502,1099,ぽっくり置物(小 ,1,1337,1337,2009,装飾品,
348,20250502,1102,ﾎﾞﾝﾀﾝ飴(中)     ,1,440,440,2002,洋菓子,
340,20250502,1104,ﾏｸﾞﾈｯﾄ唐津城    ,6,495,2970,2004,雑貨類,唐津城関連
338,20250502,1105,まるぼうろ5個入 ,2,400,800,2003,和菓子,箱入り
298,20250502,1112,ﾘﾍﾞﾝｼﾞｱｸｷ-ゆうぎ,1,1100,1100,2004,雑貨類,キーホルダー
297,20250502,1114,ﾘﾍﾞﾝｼﾞｱｸｷ-純子  ,2,1100,2200,2004,雑貨類,キーホルダー
299,20250502,1118,ﾘﾍﾞﾝｼﾞｽﾃｯｶ-幸太 ,1,440,440,2004,雑貨類,ステッカー
284,20250502,1119,ﾚｼﾞ袋           ,17,5,85,2011,ﾚｼﾞ袋           ,ﾚｼﾞ袋           
353,20250502,1120,安納芋ようかん  ,1,540,540,2003,和菓子,
321,20250502,1121,一の塩250gｻ     ,1,671,671,2007,食品,
331,20250502,1122,一の塩ｷｬﾗﾒﾙ     ,2,160,320,2010,駄菓子,お菓子(ちょい食べ)
330,20250502,1123,一の塩飴        ,1,160,160,2010,駄菓子,お菓子(ちょい食べ)
294,20250502,1127,曳山絵はがき1枚 ,1,150,150,2004,雑貨類,曳山関連
280,20250502,1130,花入れ(高野路窯 ,2,840,1680,2009,装飾品,
281,20250502,1130,花入れ(高野路窯 ,1,1580,1580,2009,装飾品,
342,20250502,1131,甘夏ｷｬﾗﾒﾙ       ,4,220,880,2002,洋菓子,
277,20250502,1137,季節物880       ,2,880,1760,2004,雑貨類,風呂敷・タオル
352,20250502,1140,栗入りようかん  ,1,540,540,2003,和菓子,
344,20250502,1152,佐賀ﾌﾚﾝｽﾞ占いｷｬﾝ,1,432,432,2007,食品,
323,20250502,1153,佐賀みかんボーロ,1,440,440,2003,和菓子,佐賀関連
350,20250502,1154,佐賀ﾒﾓﾘｱﾙﾋﾟｭｱｼｮｺ,3,702,2106,2002,洋菓子,佐賀関連
324,20250502,1161,雑貨№40        ,2,440,880,2004,雑貨類,
325,20250502,1162,雑貨№45        ,3,495,1485,2004,雑貨類,
326,20250502,1163,雑貨№50        ,2,550,1100,2004,雑貨類,
327,20250502,1165,雑貨№60        ,1,660,660,2004,雑貨類,
329,20250502,1166,雑貨№65        ,1,715,715,2004,雑貨類,
328,20250502,1167,雑貨№70        ,1,770,770,2004,雑貨類,
307,20250502,1172,仕上がってるｼﾘｰ ,1,660,660,2004,雑貨類,ストラップ
290,20250502,1173,紙ｸﾘｱ旧唐       ,2,350,700,2004,雑貨類,
335,20250502,1178,小岩井純水ぶどう,2,170,340,2008,飲料,
336,20250502,1183,松浦漬詰合せ10  ,2,1296,2592,2007,食品,
337,20250502,1184,松浦漬小箱80g   ,4,702,2808,2007,食品,
320,20250502,1187,松露饅頭(10ヶ入),11,1296,14256,2003,和菓子,唐津関連
322,20250502,1189,新九州ﾙﾙﾙﾝKB3   ,2,1760,3520,2005,生活雑貨,顔用パック
351,20250502,1190,水光呼子いかせん,6,650,3900,2010,駄菓子,袋菓子
310,20250502,1192,青しそ健康そうめ,2,540,1080,2007,食品,
361,20250502,1194,昔羊羹(小)      ,2,490,980,2003,和菓子,箱入り
313,20250502,1196,赤城2Lﾊﾟｽﾞﾙ     ,1,740,740,2004,雑貨類,
362,20250502,1197,切羊羹          ,4,540,2160,2003,和菓子,箱入り
347,20250502,1201,村山ｺｰﾋｰ        ,2,140,280,2008,飲料,
346,20250502,1203,村山牛乳        ,1,140,140,2008,飲料,
292,20250502,1208,淡雪饅頭6個入り ,1,650,650,2003,和菓子,箱入り
301,20250502,1212,唐ワンくんクッキ,1,350,350,2002,洋菓子,唐津関連
364,20250502,1214,唐津お城饅頭(小 ,10,870,8700,2003,和菓子,唐津城関連
333,20250502,1216,唐津くんちﾁｷﾝ   ,1,558,558,2007,食品,曳山関連
339,20250502,1218,唐津ｻｸｻｸｷｬ      ,2,518,1036,2002,洋菓子,唐津関連
295,20250502,1221,唐津城 缶バッジ ,2,400,800,2004,雑貨類,唐津城関連
282,20250502,1224,唐津城ﾒﾀﾞﾙ      ,2,600,1200,2004,雑貨類,唐津城関連
283,20250502,1227,唐津城御朱印    ,42,400,16800,2001,御朱印,
363,20250502,1228,唐津城物語      ,2,650,1300,2003,和菓子,唐津城関連
305,20250502,1232,豆柴×唐津くんち,1,660,660,2004,雑貨類,曳山関連
304,20250502,1234,豆柴ﾀｵﾙﾊﾝｶﾁ     ,1,770,770,2004,雑貨類,
357,20250502,1242,米ｻｲﾀﾞｰ         ,4,270,1080,2008,飲料,
345,20250502,1244,麻花兒          ,1,480,480,2003,和菓子,よりより
314,20250502,1245,抹茶松露        ,2,440,880,2003,和菓子,唐津関連
366,20250502,1248,名字ｼ-ﾙVOL2     ,12,385,4620,2004,雑貨類,シール
285,20250502,1250,六角凧          ,1,250,250,2009,装飾品,
293,20250502,1251,六萬石          ,1,1500,1500,2003,和菓子,箱入り
198,20250501,1004,ｱｲｽｸﾘｰﾑ         ,7,210,1470,2002,洋菓子,
239,20250501,1007,いかせん        ,8,650,5200,2003,和菓子,箱入り
272,20250501,1009,イカぬいぐるみS ,1,3080,3080,2004,雑貨類,ぬいぐるみ
242,20250501,1010,いかのび～るｿｯｸｽ,2,605,1210,2004,雑貨類,
271,20250501,1011,イカマスコットST,1,1760,1760,2004,雑貨類,ぬいぐるみ
241,20250501,1013,いか鉄ちゃん    ,1,980,980,2007,食品,
208,20250501,1014,いか鉄板焼き    ,4,540,2160,2007,食品,
251,20250501,1015,いちごさんクリー,1,700,700,2007,食品,
243,20250501,1017,うまかぁ~のり天 ,1,540,540,2007,食品,
258,20250501,1019,お茶ｲﾀﾞｰ        ,1,216,216,2008,飲料,
179,20250501,1020,かしわ餅2個入り ,1,360,360,2003,和菓子,
257,20250501,1023,かぼすｻﾜｰ       ,3,216,648,2008,飲料,
269,20250501,1024,からつ茶団子    ,3,870,2610,2003,和菓子,唐津関連
262,20250501,1026,ｶﾙﾃｯﾄｸﾗﾝ        ,1,842,842,2002,洋菓子,箱入り
221,20250501,1028,ｷｰﾎﾙﾀﾞｰ№4      ,1,440,440,2004,雑貨類,キーホルダー
220,20250501,1031,ｷｬﾗｸﾀｰ№5       ,1,550,550,2004,雑貨類,キーホルダー
202,20250501,1036,ぎゅぎゅ缶ﾊﾞｯﾁｿﾞ,1,550,550,2004,雑貨類,缶バッチ
254,20250501,1037,ｷﾝｾﾝｻｲﾀﾞｰ       ,1,216,216,2008,飲料,
255,20250501,1038,ｷﾝｾﾝﾗﾑﾈ         ,1,195,195,2008,飲料,
210,20250501,1041,くじらｼﾞｬ-ｷ-    ,3,432,1296,2007,食品,
180,20250501,1042,ｸﾘｰﾑ大福        ,3,360,1080,2003,和菓子,
209,20250501,1044,ｸﾚしんﾑﾂｺﾞﾛｳ    ,1,550,550,2004,雑貨類,
244,20250501,1049,ｻﾞｲｶﾉﾌｪｨｽTｼｬﾂ   ,4,2200,8800,2006,衣料,Tシャツ
256,20250501,1056,ｽﾏｯｸｺﾞｰﾙﾄﾞ      ,6,216,1296,2008,飲料,
201,20250501,1058,だがし屋さんの駄,1,300,300,2010,駄菓子,
263,20250501,1060,ﾁｰｽﾞﾗﾝｸﾞﾄﾞｼｬ・小,3,680,2040,2002,洋菓子,箱入り
276,20250501,1061,つぶらな瞳の水族,1,418,418,2004,雑貨類,
214,20250501,1069,ﾊﾞﾙｰﾝうさぎ     ,1,440,440,2004,雑貨類,キーホルダー
212,20250501,1070,ﾊﾞﾙｰﾝちいかわ   ,1,440,440,2004,雑貨類,キーホルダー
213,20250501,1073,ﾊﾞﾙｰﾝハチワレ   ,2,440,880,2004,雑貨類,キーホルダー
275,20250501,1075,ﾊﾝｶﾁ豆柴いか    ,1,770,770,2004,雑貨類,
196,20250501,1077,ひきやまTｼｬﾂ    ,2,2800,5600,2006,衣料,曳山関連
194,20250501,1082,ひきやま赤獅子  ,1,1000,1000,2009,装飾品,曳山関連
195,20250501,1083,ひきやま鯛鈴    ,1,1000,1000,2009,装飾品,曳山関連
203,20250501,1090,ぷかっしゅ缶ﾊﾞｯ ,1,550,550,2004,雑貨類,缶バッチ
204,20250501,1090,ぷかっしゅ缶ﾊﾞｯ ,1,550,550,2004,雑貨類,缶バッチ
229,20250501,1092,ﾌﾞﾗｯｸﾓﾝﾌﾞﾗﾝｸﾗﾝﾁﾁ,3,1400,4200,2002,洋菓子,箱入り
261,20250501,1093,ﾌﾟﾚﾐｱﾑｽｲｰﾂｱｿｰﾄ  ,2,1080,2160,2002,洋菓子,箱入り
190,20250501,1099,ぽっくり置物(小 ,4,1337,5348,2009,装飾品,
175,20250501,1101,ﾎﾞﾝﾀﾝｱﾒ(小      ,1,170,170,2002,洋菓子,
238,20250501,1104,ﾏｸﾞﾈｯﾄ唐津城    ,6,495,2970,2004,雑貨類,唐津城関連
215,20250501,1109,むつごろうにゃん,2,660,1320,2004,雑貨類,キーホルダー
199,20250501,1111,ﾘﾍﾞﾝｼﾞｱｸｷ-ｻｷ    ,1,1100,1100,2004,雑貨類,キーホルダー
200,20250501,1117,ﾘﾍﾞﾝｼﾞｽﾃｯｶ-愛   ,1,440,440,2004,雑貨類,ステッカー
188,20250501,1119,ﾚｼﾞ袋           ,15,5,75,2011,ﾚｼﾞ袋           ,ﾚｼﾞ袋           
217,20250501,1121,一の塩250gｻ     ,4,671,2684,2007,食品,
228,20250501,1122,一の塩ｷｬﾗﾒﾙ     ,4,160,640,2010,駄菓子,お菓子(ちょい食べ)
227,20250501,1123,一の塩飴        ,1,160,160,2010,駄菓子,お菓子(ちょい食べ)
177,20250501,1125,曳山Tｼｬﾂ        ,2,2900,5800,2006,衣料,曳山関連
259,20250501,1128,塩ｻｲﾀﾞｰ         ,3,216,648,2008,飲料,
181,20250501,1130,花入れ(高野路窯 ,4,840,3360,2009,装飾品,
182,20250501,1130,花入れ(高野路窯 ,1,1050,1050,2009,装飾品,
183,20250501,1130,花入れ(高野路窯 ,1,1580,1580,2009,装飾品,
240,20250501,1131,甘夏ｷｬﾗﾒﾙ       ,3,220,660,2002,洋菓子,
176,20250501,1136,季節物770       ,1,770,770,2004,雑貨類,風呂敷・タオル
274,20250501,1138,吉野ヶ里ﾏｽｺｯﾄST ,1,1980,1980,2004,雑貨類,ぬいぐるみ
233,20250501,1139,金獅子          ,1,216,216,2004,雑貨類,曳山関連
234,20250501,1143,源頼光          ,1,216,216,2007,食品,曳山関連
252,20250501,1150,佐賀ｸﾚｰﾌﾟｼｮ     ,2,756,1512,2002,洋菓子,佐賀関連
270,20250501,1151,佐賀ﾊﾞﾙｰﾝ2ﾏｽｺｯﾄS,1,2420,2420,2007,食品,
245,20250501,1152,佐賀ﾌﾚﾝｽﾞ占いｷｬﾝ,1,432,432,2007,食品,
219,20250501,1153,佐賀みかんボーロ,8,440,3520,2003,和菓子,佐賀関連
226,20250501,1157,雑貨130         ,2,1430,2860,2004,雑貨類,
222,20250501,1162,雑貨№45        ,2,495,990,2004,雑貨類,
223,20250501,1163,雑貨№50        ,2,550,1100,2004,雑貨類,
224,20250501,1167,雑貨№70        ,2,770,1540,2004,雑貨類,
225,20250501,1169,雑貨№80        ,2,880,1760,2004,雑貨類,
178,20250501,1174,手拭い(ﾌﾞﾙｰ)    ,1,800,800,2004,雑貨類,曳山関連
236,20250501,1182,松浦漬缶詰      ,2,1404,2808,2007,食品,
216,20250501,1187,松露饅頭(10ヶ入),6,1296,7776,2003,和菓子,唐津関連
218,20250501,1189,新九州ﾙﾙﾙﾝKB3   ,1,1760,1760,2005,生活雑貨,顔用パック
253,20250501,1190,水光呼子いかせん,4,650,2600,2010,駄菓子,袋菓子
207,20250501,1192,青しそ健康うどん,2,486,972,2007,食品,
206,20250501,1192,青しそ健康そうめ,1,540,540,2007,食品,
264,20250501,1194,昔羊羹(小)      ,8,490,3920,2003,和菓子,箱入り
230,20250501,1195,赤獅子          ,1,216,216,2004,雑貨類,曳山関連
265,20250501,1197,切羊羹          ,1,540,540,2003,和菓子,箱入り
247,20250501,1201,村山ｺｰﾋｰ        ,2,140,280,2008,飲料,
248,20250501,1202,村山ヨーグルト  ,2,140,280,2008,飲料,
246,20250501,1203,村山牛乳        ,2,140,280,2008,飲料,
231,20250501,1204,鯛              ,1,216,216,2007,食品,醤油
191,20250501,1208,淡雪饅頭6個入り ,5,650,3250,2003,和菓子,箱入り
193,20250501,1209,淡雪饅頭8個入   ,2,865,1730,2003,和菓子,箱入り
268,20250501,1214,唐津お城饅頭(小 ,6,870,5220,2003,和菓子,唐津城関連
267,20250501,1215,唐津お城饅頭(大 ,3,1300,3900,2003,和菓子,唐津城関連
235,20250501,1216,唐津くんちﾁｷﾝ   ,1,558,558,2007,食品,曳山関連
237,20250501,1218,唐津ｻｸｻｸｷｬ      ,2,518,1036,2002,洋菓子,唐津関連
249,20250501,1219,唐津の風(小)    ,2,800,1600,2002,洋菓子,唐津関連
250,20250501,1219,唐津の風(大)    ,1,1600,1600,2002,洋菓子,唐津関連
186,20250501,1224,唐津城ﾒﾀﾞﾙ      ,2,600,1200,2004,雑貨類,唐津城関連
187,20250501,1227,唐津城御朱印    ,28,400,11200,2001,御朱印,
266,20250501,1228,唐津城物語      ,3,650,1950,2003,和菓子,唐津城関連
184,20250501,1230,湯呑み(大杉皿屋 ,1,1430,1430,2005,生活雑貨,
211,20250501,1231,藤棚ｸﾘｱﾌｧｲﾙ     ,1,220,220,2004,雑貨類,
205,20250501,1232,豆柴×唐津くんち,1,660,660,2004,雑貨類,曳山関連
185,20250501,1238,箸置き(大杉皿屋 ,7,550,3850,2005,生活雑貨,
232,20250501,1239,飛龍            ,1,216,216,2004,雑貨類,曳山関連
260,20250501,1242,米ｻｲﾀﾞｰ         ,1,270,270,2008,飲料,
273,20250501,1248,名字ｼ-ﾙVOL2     ,3,385,1155,2004,雑貨類,シール
189,20250501,1250,六角凧          ,1,250,250,2009,装飾品,
192,20250501,1251,六萬石          ,4,1500,6000,2003,和菓子,箱入り
197,20250501,1252,和手拭い        ,5,880,4400,2005,生活雑貨,
